ZL.ID,MC.ID,Location,Port1,Port2,Port3,Port4,Port5,Port6,Good.data.starts,Zentracloud,Notes
z6-16008,ET1_MC1,ET1,S4,S4,S4,S4,S1,,7/13/2022,No,
z6-15954,ET1_MC2,ET1,S1,S2,S1,S1,S2,S2,6/3/2022,No,
z6-16030,ET2_MC1,ET2,S4,S1,S4,S4,S1,S1,6/3/2022,Yes,
z6-16042,ET2_MC2,ET2,S2,S2,S2,S2,S4,,6/22/2022,Yes,
z6-16009,ET2_MC3,ET2,S3,,S3,S3,,,6/3/2022,Yes,
z6-15896,ET3_MC1,ET3,S1,S1,S1,S1,,,6/24/2022,Yes,
z6-15945,ET3_MC2,ET3,S2,S4,S2,S2,S4,S4,8/4/2022,Yes,
z6-16040,ET3_MC3,ET3,S3,S4,S3,S3,S5,S5,6/24/2022,Yes,
z6-15972,ET4_MC1,ET4,S1,,S1,S1,S5,S5,6/29/2022,Yes,
z6-15940,ET4_MC2,ET4,S2,S2,S2,S2,S4,,6/29/2022,Yes,
z6-15991,ET4_MC3,ET4,S4,S4,S4,S3,S3,S3,6/29/2022,Yes,
z6-16003,ET5_MC1,ET5,S4,S1,S4,S4,S1,S1,7/13/2022,Yes,
z6-15983,ET5_MC2,ET5,S2,S2,S2,S2,,,7/13/2022,Yes,
z6-15986,ET5_MC3,ET5,S3,S4,S3,S3,,,7/13/2022,Yes,
z6-15982,ET6_MC1,ET6,S1,S4,S1,S1,S4,S4,6/2/2022,No,
z6-15957,ET6_MC2,ET6,S2,S4,S2,S2,,,6/2/2022,No,
z6-15949,ET6_MC3,ET6,S3,S3,S3,S3,,,8/4/2022,No,
z6-15943,ET7_MC1,ET7,S1,S4,S1,S1,S4,S4,6/9/2022,Yes,
z6-15836,ET7_MC2,ET7,S2,,S2,S2,S5,S5,6/9/2022,Yes,
z6-16029,ET7_MC3,ET7,S3,S3,S3,S3,S4,,6/9/2022,Yes,
z6-15978,ET8_MC1,ET8,S1,S1,S1,S1,S5,S5,6/4/2022,Yes,
z6-15946,ET8_MC2,ET8,S2,S4,S2,S2,,,6/4/2022,Yes,
z6-15994,ET8_MC3,ET8,S3,S4,S3,S3,S4,S4,6/4/2022,Yes,
z6-15848,FB1_MC1,FB1,S1,S1,S1,S1,,,6/1/2022,Yes,
z6-15908,FB1_MC2,FB1,S2,,S2,S2,,S4,6/1/2022,Yes,
z6-16031,FB1_MC3,FB1,S3,S4,S3,S3,S4,S4,6/1/2022,Yes,
z6-15985,FB2_MC1,FB2,S1,,S1,S1,,,6/1/2022,Yes,
z6-15947,FB2_MC2,FB2,S2,S4,S2,S2,S4,S4,6/1/2022,Yes,
z6-15993,FB2_MC3,FB2,S3,S3,S3,S3,,S4,6/1/2022,Yes,
z6-16027,FB3_MC1,FB3,S1,S1,S1,S1,S4,S4,6/1/2022,Yes,
z6-15951,FB3_MC2,FB3,S2,,S2,S2,,,6/1/2022,Yes,
z6-15975,FB3_MC3,FB3,S3,S4,S3,S3,,S4,7/9/2022,Yes,
z6-15944,FB4_MC1,FB4,S1,S2,S1,S1,S2,S2,6/16/2022,Yes,
z6-15916,FB4_MC2,FB4,S3,S3,S3,S3,,,6/16/2022,Yes,
z6-15973,FB4_MC3,FB4,S4,S4,S4,S4,,,6/16/2022,Yes,
z6-16028,FB5_MC1,FB5,S1,S1,S1,S1,S5,S5,8/18/2022,Yes,
z6-16011,FB5_MC2,FB5,S4,S4,S4,S4,,,8/18/2022,Yes,
z6-15936,FB5_MC3,FB5,S3,S2,S3,S3,S2,S2,8/18/2022,Yes,
z6-15992,FB6_MC1,FB6,S1,S4,S1,S1,,,6/17/2022,Yes,
z6-15907,FB6_MC2,FB6,S2,S2,S2,S2,S5,S5,6/17/2022,Yes,
z6-16012,FB6_MC3,FB6,S4,S3,S4,S4,S3,S3,6/17/2022,Yes,
z6-15995,FB7_MC1,FB7,S1,S4,S1,S1,S4,S4,6/1/2022,Yes,
z6-15989,FB7_MC2,FB7,S2,S4,S2,S2,S5,S5,6/1/2022,Yes,
z6-15988,FB7_MC3,FB7,S3,S3,S3,S3,,,6/1/2022,Yes,
z6-15932,FB8_MC1,FB8,S1,S4,S1,S1,S4,S4,7/1/2022,Yes,
z6-16006,FB8_MC2,FB8,S2,,S2,S2,S5,S5,8/31/2022,Yes,
z6-15984,FB8_MC3,FB8,S3,S3,S3,S3,S4,,7/1/2022,Yes,
z6-15937,TV1_MC1,TV1,S1,,S1,S1,S5,S5,6/10/2022,Yes,
z6-16004,TV1_MC2,TV1,S2,S2,S2,S4,S4,S4,8/10/2022,Yes,
z6-15990,TV1_MC3,TV1,S3,S3,S3,S3,S4,,6/10/2022,Yes,
z6-15955,TV2_MC1,TV2,S1,S4,S1,S1,,,9/15/2022,Yes,
z6-15987,TV2_MC2,TV2,S2,S2,S2,S2,S5,S5,9/15/2022,Yes,
z6-15980,TV2_MC3,TV2,S3,S3,S3,S4,S4,S4,9/15/2022,Yes,
z6-15974,TV3_MC1,TV3,S1,S1,S1,S1,S4,S4,6/1/2022,Yes,
z6-16002,TV3_MC2,TV3,S2,S4,S2,S2,S4,,6/1/2022,Yes,
z6-16001,TV3_MC3,TV3,S3,,S3,S3,,,6/1/2022,Yes,
z6-15877,TV4_MC1,TV4,S1,S1,S1,S1,,,8/17/2022,Yes,
z6-16010,TV4_MC2,TV4,S4,S4,S4,S2,S2,S2,8/17/2022,Yes,
z6-15958,TV4_MC3,TV4,S3,S4,S3,S3,,,8/17/2022,Yes,
z6-15899,ETP1_ATM41,ETP1,,,,,,,7/21/2022,No,
z6-16041,ETP2_ATM41,ETP2,,,,,,,7/23/2022,No,
z6-15996,FBP1_ATM41,FBP1,,,,,,,7/6/2022,No,
z6-15979,FBP2_ATM41,FBP2,,,,,,,7/20/2022,No,
z6-15917,TVP_ATM41,TVP,,,,,,,8/26/2022,No,
z6-15935,,Extra,,,,,,,,No,
